date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2015-10-27,,,0.0,1.47,728.0,,
2015-10-28,,,0.0,1.47,4283.0,,
2015-10-29,,,0.0,1.55,4211.0,,
2015-10-30,,,0.0,1.62,5655.0,,
2015-10-31,,,0.0,1.7,3769.9999999999995,,
2015-11-01,,,0.0,1.58,3332.0,,
2015-11-02,,,0.0,1.68,4418.0,,
2015-11-03,,,0.0,1.84,6808.0,,
2015-11-04,,,0.0,2.08,9166.0,,
2015-11-05,,,0.0,2.07,855.0,,
2015-11-06,,,0.0,1.97,73.0,,
2015-11-07,,,0.0,1.95,753.0,,
2015-11-08,,,0.0,1.98,1092.0,,
2015-11-09,,,0.0,1.93,4313.0,,
2015-11-10,,,0.0,1.94,2087.0,,
2015-11-11,,,0.0,1.75,6071.0,,
2015-11-12,,,0.0,1.66,2958.0,,
2015-11-13,,,0.0,1.62,820.0,,
2015-11-14,,,0.0,1.61,518.0,,
2015-11-15,,,0.0,1.6,60.0,,
2015-11-16,,,0.0,1.56,478.0,,
2015-11-17,,,0.0,1.62,700.0,,
2015-11-18,,,0.0,1.64,44.0,,
2015-11-19,,,0.0,1.64,67.0,,
2015-11-20,,,0.0,1.59,207.00000000000003,,
2015-11-21,,,0.0,1.58,84.0,,
2015-11-22,,,0.0,1.6,185.0,,
2015-11-23,,,0.0,1.59,298.0,,
2015-11-24,,,0.0,1.53,20.0,,
2015-11-25,,,0.0,1.53,83.0,,
2015-11-26,,,0.0,1.59,170.0,,
2015-11-27,,,0.0,1.66,165.0,,
2015-11-28,,,0.0,1.71,510.0,,
2015-11-29,,,0.0,1.74,371.0,,
2015-11-30,,,0.0,1.78,509.99999999999994,,
2015-12-01,,,0.0,1.51,445.0,,
2015-12-02,,,0.0,1.56,86.0,,
2015-12-03,,,0.0,1.55,187.0,,
2015-12-04,,,0.0,1.56,230.0,,
2015-12-05,,,0.0,1.63,612.0,,
2015-12-06,,,0.0,1.84,548.0,,
2015-12-07,,,0.0,1.83,36.0,,
2015-12-08,,,0.0,1.66,155.0,,
2015-12-09,,,0.0,1.87,129.0,,
2015-12-10,,,0.0,1.67,580.0,,
2015-12-11,,,0.0,1.89,208.0,,
2015-12-12,,,0.0,2.18,512.0,,
2015-12-13,,,0.0,2.11,2.0,,
2015-12-14,,,0.0,2.17,2.0,,
2015-12-15,,,0.0,2.13,259.0,,
2015-12-16,,,0.0,2.29,236.0,,
2015-12-17,,,0.0,2.3,113.0,,
2015-12-18,,,0.0,2.19,113.0,,
2015-12-19,,,0.0,2.34,1881.9999999999998,,
2015-12-20,,,0.0,2.39,514.0,,
2015-12-21,,,0.0,2.06,361.0,,
2015-12-22,,,0.0,2.04,372.0,,
2015-12-23,,,0.0,1.99,860.0,,
2015-12-24,,,0.0,2.1,441.0,,
2015-12-25,,,0.0,2.23,686.0,,
2015-12-26,,,0.0,2.52,148.0,,
2015-12-27,,,0.0,2.37,147.0,,
