date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2016-10-17,,5,,,,10000.0,2
2016-10-18,,192,,,,0.0,93
2016-10-19,,265,,,,500.0,134
2016-10-20,,268,,,,0.0,122
2016-10-21,,275,,,,0.0,110
2016-10-22,,209,,,,0.0,87
2016-10-23,,142,,,,0.0,63
2016-10-24,,204,,,,0.0,92
2016-10-25,,393,,,,0.0,195
2016-10-26,,166,,,,0.0,93
2016-10-27,,165,,,,17000.0,86
2016-10-28,,173,,,,20500.0,81
2016-10-29,,211,,,,0.0,75
2016-10-30,,100,,,,0.0,64
2016-10-31,,176,,,,0.0,76
2016-11-01,,119,,,,0.0,57
2016-11-02,,70,,,,0.0,39
2016-11-03,,70,,,,0.0,32
2016-11-04,,46,,,,10000.0,31
2016-11-05,,51,,,,0.0,28
2016-11-06,,38,,,,0.0,22
2016-11-07,,65,,,,0.0,29
2016-11-08,,59,,,,0.0,25
2016-11-09,,32,,,,0.0,21
2016-11-10,,109,,,,10500.0,52
2016-11-11,,369,,,,11000.0,166
2016-11-12,,66,,,,0.0,38
2016-11-13,,52,,,,0.0,24
2016-11-14,,152,,,,0.0,69
2016-11-15,,106,,,,0.0,56
2016-11-16,,72,,,,0.0,36
2016-11-17,,67,,,,0.0,30
2016-11-18,,97,,,,0.0,40
2016-11-19,,62,,,,0.0,37
2016-11-20,,22,,,,0.0,15
2016-11-21,,137,,,,0.0,52
2016-11-22,,48,,,,0.0,29
2016-11-23,,67,,,,0.0,29
2016-11-24,,74,,,,0.0,40
2016-11-25,,49,,,,0.0,26
2016-11-26,,31,,,,0.0,18
2016-11-27,,49,,,,0.0,26
2016-11-28,,107,,,,0.0,53
2016-11-29,,64,,,,0.0,34
2016-11-30,,41,,,,0.0,21
2016-12-01,,64,,,,0.0,36
2016-12-02,,73,,,,0.0,40
2016-12-03,,43,,,,0.0,24
2016-12-04,,52,,,,0.0,24
2016-12-05,,102,,,,0.0,49
2016-12-06,,73,,,,0.0,34
2016-12-07,,64,,,,0.0,31
2016-12-08,,95,,,,0.0,52
2016-12-09,,36,,,,0.0,22
2016-12-10,,21,,,,0.0,13
2016-12-11,,26,,,,0.0,16
2016-12-12,,20,,,,500.0,14
2016-12-13,,25,,,,0.0,17
2016-12-14,,26,,,,10500.0,17
2016-12-15,,31,,,,0.0,19
2016-12-16,,23,,,,0.0,16
2016-12-17,,14,,,,0.0,9
2016-12-18,,17,,,,0.0,14
2016-12-19,,18,,,,0.0,13
2016-12-20,,20,,,,0.0,10
2016-12-21,,95,,,,0.0,40
2016-12-22,,85,,,,0.0,48
2016-12-23,,28,,,,0.0,19
2016-12-24,,33,,,,0.0,18
2016-12-25,,29,,,,0.0,23
2016-12-26,,67,,,,0.0,36
2016-12-27,,44,,,,0.0,36
2016-12-28,,17,,,,0.0,12
2016-12-29,,39,,,,0.0,19
2016-12-30,,51,,,,0.0,21
2016-12-31,,,,,,,
2017-01-01,,,,,,,
2017-01-02,,19,,,,0.0,11
2017-01-03,,40,,,,0.0,21
2017-01-04,,104,,,,0.0,59
2017-01-05,,54,,,,0.0,34
2017-01-06,,37,,,,0.0,15
2017-01-07,,26,,,,0.0,18
2017-01-08,,28,,,,0.0,15
2017-01-09,,25,,,,0.0,10
2017-01-10,,31,,,,0.0,20
2017-01-11,,29,,,,0.0,18
2017-01-12,,23,,,,0.0,15
2017-01-13,,42,,,,0.0,26
2017-01-14,,25,,,,0.0,21
2017-01-15,,20,,,,0.0,11
2017-01-16,,14,,,,0.0,9
2017-01-17,,35,,,,0.0,21
2017-01-18,,29,,,,11000.0,20
2017-01-19,,24,,,,0.0,14
2017-01-20,,45,,,,0.0,16
2017-01-21,,17,,,,0.0,8
2017-01-22,,9,,,,0.0,5
2017-01-23,,23,,,,0.0,10
2017-01-24,,35,,,,0.0,9
2017-01-25,,,,,,,
2017-01-26,,,,,,,
2017-01-27,,,,,,,
2017-01-28,,10,,,,0.0,5
2017-01-29,,6,,,,0.0,4
2017-01-30,,13,,,,0.0,9
2017-01-31,,13,,,,0.0,7
2017-02-01,,15,,,,0.0,9
2017-02-02,,7,,,,0.0,4
2017-02-03,,34,,,,0.0,15
2017-02-04,,11,,,,0.0,8
2017-02-05,,,,,,,
2017-02-06,,,,,,,
2017-02-07,,28,,,,0.0,19
2017-02-08,,,,,,,
2017-02-09,,,,,,,
2017-02-10,,11,,,,0.0,8
2017-02-11,,,,,,,
2017-02-12,,,,,,,
2017-02-13,,37,,,,0.0,18
2017-02-14,,16,,,,0.0,10
2017-02-15,,16,,,,0.0,11
2017-02-16,,24,,,,0.0,12
2017-02-17,,,,,,,
2017-02-18,,,,,,,
2017-02-19,,14,,,,0.0,4
2017-02-20,,,,,,,
2017-02-21,,,,,,,
2017-02-22,,32,,,,0.0,21
2017-02-23,,26,,,,0.0,15
2017-02-24,,18,,,,0.0,9
2017-02-25,,11,,,,0.0,8
2017-02-26,,,,,,,
2017-02-27,,,,,,,
2017-02-28,,9,,,,0.0,6
2017-03-01,,16,,,,0.0,12
2017-03-02,,26,,,,0.0,17
2017-03-03,,10,,,,0.0,8
2017-03-04,,7,,,,0.0,5
2017-03-05,,,,,,,
2017-03-06,,,,,,,
2017-03-07,,21,,,,0.0,15
2017-03-08,,,,,,,
2017-03-09,,,,,,,
2017-03-10,,21,,,,0.0,14
2017-03-11,,27,,,,0.0,16
2017-03-12,,45,,,,0.0,24
2017-03-13,,30,,,,0.0,17
2017-03-14,,16,,,,0.0,12
2017-03-15,,18,,,,0.0,12
2017-03-16,,36,,,,10500.0,16
2017-03-17,,17,,,,0.0,9
2017-03-18,,45,,,,0.0,27
2017-03-19,,28,,,,0.0,21
2017-03-20,,21,,,,10500.0,14
2017-03-21,,,,,,,
2017-03-22,,,,,,,
2017-03-23,,49,,,,0.0,37
2017-03-24,,43,,,,0.0,22
2017-03-25,,13,,,,0.0,11
2017-03-26,,11,,,,0.0,10
2017-03-27,,22,,,,0.0,16
2017-03-28,,59,,,,0.0,34
2017-03-29,,44,,,,0.0,22
2017-03-30,,19,,,,0.0,14
2017-03-31,,11,,,,0.0,8
2017-04-01,,15,,,,0.0,12
2017-04-02,,9,,,,0.0,5
2017-04-03,,23,,,,0.0,13
2017-04-04,,15,,,,0.0,7
2017-04-05,,23,,,,0.0,16
2017-04-06,,19,,,,0.0,14
2017-04-07,,13,,,,0.0,7
2017-04-08,,8,,,,0.0,6
2017-04-09,,18,,,,0.0,10
2017-04-10,,31,,,,0.0,21
2017-04-11,,27,,,,0.0,17
2017-04-12,,22,,,,0.0,11
2017-04-13,,19,,,,0.0,13
2017-04-14,,13,,,,0.0,8
2017-04-15,,16,,,,0.0,11
2017-04-16,,19,,,,0.0,12
2017-04-17,,42,,,,0.0,21
2017-04-18,,31,,,,10000.0,21
2017-04-19,,24,,,,21000.0,12
2017-04-20,,22,,,,0.0,16
2017-04-21,,10,,,,0.0,10
2017-04-22,,9,,,,0.0,7
2017-04-23,,16,,,,0.0,13
2017-04-24,,12,,,,500.0,9
2017-04-25,,32,,,,0.0,18
2017-04-26,,9,,,,0.0,9
2017-04-27,,28,,,,0.0,18
2017-04-28,,24,,,,0.0,18
2017-04-29,,48,,,,0.0,35
2017-04-30,,47,,,,0.0,29
2017-05-01,,52,,,,0.0,31
2017-05-02,,32,,,,0.0,21
2017-05-03,,28,,,,0.0,20
2017-05-04,,52,,,,10000.0,30
2017-05-05,,71,,,,0.0,47
2017-05-06,,64,,,,0.0,42
2017-05-07,,47,,,,10000.0,38
2017-05-08,,65,,,,0.0,39
2017-05-09,,25,,,,0.0,19
2017-05-10,,,,,,,
