date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-01-09,,2,,,,2,
2018-01-10,,,,,,,
2018-01-11,,,,,,,
2018-01-12,,,,,,,
2018-01-13,,,,,,,
2018-01-14,,,,,,,
2018-01-15,,,,,,,
2018-01-16,,,,,,,
2018-01-17,,,,,,,
2018-01-18,,,,,,,
2018-01-19,,,,,,,
2018-01-20,,,,,,,
2018-01-21,,,,,,,
2018-01-22,,,,,,,
2018-01-23,,,,,,,
2018-01-24,,,,,,,
2018-01-25,,,,,,,
2018-01-26,,,,,,,
2018-01-27,,,,,,,
2018-01-28,,,,,,,
2018-01-29,,,,,,,
2018-01-30,,,,,,,
2018-01-31,,,,,,,
2018-02-01,,,,,,,
2018-02-02,,,,,,,
2018-02-03,,,,,,,
2018-02-04,,,,,,,
2018-02-05,,,,,,,
2018-02-06,,,,,,,
2018-02-07,,,,,,,
2018-02-08,,,,,,,
2018-02-09,,,,,,,
2018-02-10,,,,,,,
2018-02-11,,,,,,,
2018-02-12,,,,,,,
2018-02-13,,,,,,,
2018-02-14,,,,,,,
2018-02-15,,,,,,,
2018-02-16,,,,,,,
2018-02-17,,,,,,,
2018-02-18,,,,,,,
2018-02-19,,,,,,,
2018-02-20,,,,,,,
2018-02-21,,,,,,,
2018-02-22,,2,,,,2,
2018-02-23,,,,,,,
2018-02-24,,,,,,,
2018-02-25,,,,,,,
2018-02-26,,925,,,,527,
2018-02-27,,700,,,,528,
2018-02-28,,334,,,,266,
2018-03-01,,334,,,,299,
2018-03-02,,357,,,,278,
2018-03-03,,378,,,,284,
2018-03-04,,363,,,,258,
2018-03-05,,332,,,,277,
2018-03-06,,341,,,,277,
2018-03-07,,311,,,,281,
2018-03-08,,596,,,,434,
2018-03-09,,418,,,,357,
2018-03-10,,332,,,,305,
2018-03-11,,241,,,,224,
2018-03-12,,253,,,,237,
2018-03-13,6929808.865717944,271,0.0,0.431519,165758.0,240,2035.906642
2018-03-14,8509749.55886337,308,0.0,0.456277,141524.0,257,2346.7290891746807
2018-03-15,8572099.20470393,215,0.0,0.404855,109247.99999999999,195,3847.74515884
2018-03-16,8108484.706358402,163,0.0,0.409561,183272.0,147,2248.48989
2018-03-17,1013486.9304465568,136,0.0,0.439975,88871.0,126,2274.67075
2018-03-18,9318379.79321531,168,0.0,0.340463,127510.0,131,1135.6257849667168
2018-03-19,9918128.951962963,182,0.0,0.318684,123630.0,167,1585.76999058
2018-03-20,6150713.373666396,147,0.0,0.304314,73959.0,156,1812.9445687199998
2018-03-21,5012238.736776536,305,0.0,0.329549,125406.0,260,2471.6175
2018-03-22,6699597.455949093,142,0.0,0.284657,100624.0,135,2562.2128861495
2018-03-23,2543740.950672379,135,0.0,0.255645,123328.0,107,1545.62967
2018-03-24,2004402.9424421985,89,0.0,0.235095,76345.0,91,2350.94764905
2018-03-25,545100.9070588719,91,0.0,0.213172,66160.0,86,1008.943076
2018-03-26,1200610.7088051336,117,0.0,0.230831,149513.0,98,1754.3156000000001
2018-03-27,471705.2566291091,115,0.0,0.195649,246858.99999999997,78,1565.192
2018-03-28,926460.6494750198,169,0.0,0.208686,298810.0,120,2086.86
2018-03-29,15809155.748850232,143,0.0,0.237999,158960.0,133,1903.992
2018-03-30,2321115.8704880807,149,0.0,0.211663,163232.0,133,2073.698182047
2018-03-31,938504.3903451682,136,0.0,0.211542,284392.0,125,1340.5049091546
2018-04-01,1039009.7542957684,101,0.0,0.317315,106463.0,112,760.9627738640986
2018-04-02,2108311.452111111,126,0.0,0.290206,107914.0,135,3196.800178544
2018-04-03,3722546.457684063,134,0.0,0.299026,138099.0,123,2528.264231948
